name,id
-----------------------,
----------------------------,
Αδάμος Αδάμου,adamou-adamos
Αδάμου Αδάμος,adamou-adamos
Αναστασιάδης Νίκος,anastasiadis-nikos
Αντωνίου Αντώνης,antoniou-antonis
Βαρνάβα Γιώργος,varnava-giorgos
Βότσης Άγγελος,votsis-angelos
Γαβριήλ Γιαννάκης,gavriil-giannakis
Γεωργίου Γεώργιος,georgiou-georgios
Γεωργίου Γιώργος,georgiou-k-giorgos
Γεωργιάδης Χάρης,georgiadis-charis
Δίπλαρος Ευθύμιος,diplaros-efthymios
Δαμιανού Άριστος,damianou-aristos
Δημητρίου Μισιαούλη Στέλλα,dimitriou-misiaouli-stella
Ευαγόρου Σταύρος,evagorou-stavros
Ζαχαρίου Ζαχαρίας,zachariou-zacharias
Η συνεδρία πραγματοποιήθηκε την,
Θεμιστοκλέους Ανδρέας,themistokleous-andreas
Καρογιάν Μάριος,karogian-marios
Κατσουρίδης Νίκος,katsouridis-nikos
Καυκαλιάς Ανδρέας,kafkalias-antreas
Καυκαλιάς Αντρέας,kafkalias-antreas
Κουκουμά Κούτρα Σκεύη,koukouma-koutra-skevi
Κουλίας Ζαχαρίας,koulias-zacharias
Κουτσού Νίκος,koutsou-nikos
Κυπριανού Άντρος,kyprianou-antros
Κυπριανού Ανδρέας,kyprianou-andreas
Κυριακίδου Αθηνά,kyriakidou-athina
Κυριακίδου Στέλλα,kyriakidou-stella
Κυριακού Μαρία,kyriakou-maria
Κωνσταντίνου Κώστας,konstantinou-kostas
Κωνσταντίνου Νεόφυτος,konstantinou-neofytos
Κώστα Κώστας,kosta-kostas
Λαμάρης Γιάννος,lamaris-giannos
Λουκαΐδης Γιώργος,loukaidis-giorgos
Λουκαΐδης Γιώργος,loukaidis-giorgos
Μέσης Χρίστος,mesis-christos
Μαππουρίδης Ρίκκος,mappouridis-rikkos
Μαυρίδης Μάριος,mavridis-marios
Μαυρονικόλα Ρούλα,mavronikola-roula
Μητσόπουλος Τάσος,mitsopoulos-tasos
Μισός Αριστοτέλης,misos-aristotelis
Μιχαηλίδης Ανδρέας,michailidis-andreas
Νεοφύτου Αβέρωφ,neofytou-averof
Νικολάου Ιωνάς,nikolaou-ionas
Νικολαΐδης Νίκος,nikolaidis-nikos
Νουρής Νίκος,nouris-nikos
Ομήρου Γιαννάκης,omirou-giannakis
Παπαγεωργίου Πάμπος,papageorgiou-pampos
Παπαγεωργίου Χαράλαμπος,papageorgiou-pampos
Παπαδόπουλος Νικόλας,papadopoulos-nikolas
Περδίκης Γιώργος,perdikis-giorgos
Πιτσιλλίδης Ανδρέας,pitsillidis-andreas
Προδρόμου Πρόδρομος,prodromou-prodromos
Προκοπίου Γεώργιος,prokopiou-georgios
Σαμψών Σωτήρης,sampson-sotiris
Σαρίκας Φειδίας,sarikas-feidias
Σταυριανός Πανίκκος,stavrianos-panikkos
Στυλιανίδης Χρήστος,stylianidis-christos
Συλλούρης Δημήτρης,syllouris-dimitris
Τάσου Γεώργιος,tasou-georgios
Τζιοβάνης Χριστάκης,tziovanis-christakis
Τορναρίτης Νίκος,tornaritis-nikos
"Τρίτη, 23 Σεπτεμβρίου 2014.",
Φακοντής Αντρέας,fakontis-antreas
Φακοντής Σοφοκλής,fakontis-antreas
Φυττής Σοφοκλής,fyttis-sofoklis
Χαμπουλάς Ευγένιος,champoullas-evgenios
Χαμπουλλάς Ευγένιος,champoullas-evgenios
Χαραλαμπίδου Ειρήνη,charalampidou-eirini
Χατζηγιάννης Κυριάκος,chatzigiannis-kyriakos
Χριστοφόρου Λευτέρης,christoforou-lefteris
∗,
