declined_name,id
Άγγελου Βότση,votsis-angelos
Άγι Αγαπίου,agapiou-agis
Άντρο Κυπριανού,kyprianou-antros
Άντρου Κυπριανού,kyprianou-antros
Άριστο Χρυσοστόμου,chrysostomou-aristos
Άριστου Αριστοτέλους,aristotelous-aristos
Άριστου Δαμιανού,damianou-aristos
Αδάμο Αδάμου,adamou-adamos
Αδάμου Αδάμου,adamou-adamos
Αθηνά Κυριακίδου,kyriakidou-athina
Αθηνάς Κυριακίδου,kyriakidou-athina
Ανδρέα Αγγελίδη,angelidis-andreas
Ανδρέα Θεμιστοκλέους,themistokleous-andreas
Ανδρέα Κυπριανού,kyprianou-andreas
Ανδρέα Μιχαηλίδη,michailidis-andreas
Ανδρέα Μουσκάλλη,mouskallis-andreas
Ανδρέα Παπαπολυβίου,papapolyviou-andreas
Ανδρέα Φακοντή,fakontis-antreas
Ανδρέα Φιλίππου,filippou-andreas
Ανδρέα Χρίστου,christou-andreas
Ανδρούλας Βασιλείου,vasileiou-androula
Αντιγόνη Παπαδοπούλου,papadopoulou-antigoni
Αντιγόνης Παπαδοπούλου,papadopoulou-antigoni
Αντρέα Καυκαλιά,kafkalias-antreas
Αντρέα Φακοντή,fakontis-antreas
Αντώνη Αντωνίου,antoniou-antonis
Αντώνη Καρά,karas-antonis
Αριστοτέλη Μισού,misos-aristotelis
Αριστοφάνη Γεωργίου,georgiou-aristofanis
Γεώργιο Γεωργίου,georgiou-georgios
Γεώργιο Τάσου,tasou-georgios
Γεώργιου Γεωργίου,georgiou-georgios
Γεώργιου Προκοπίου,prokopiou-georgios
Γεώργιου Τάσου,tasou-georgios
Γιάννο Λαμάρη,lamaris-giannos
Γιάννου Λαμάρη,lamaris-giannos
Γιαννάκη Αγαπίου,agapiou-giannakis
Γιαννάκη Γαβριήλ,gavriil-giannakis
Γιαννάκη Θωμά,thoma-giannakis
Γιαννάκη Ομήρου,omirou-giannakis
Γιώργιου Κ. Γεωργίου,georgiou-giorgos
Γιώργο Βαρνάβα,varnava-giorgos
Γιώργο Περδίκη,perdikis-giorgos
Γιώργο Χατζηγεωργίου,chatzigeorgiou-giorgos
Γιώργου Βαρνάβα,varnava-giorgos
Γιώργου Γεωργίου,georgiou-giorgos
Γιώργου Κ. Γεωργίου,georgiou-giorgos
Γιώργου Λουκαΐδη,loukaidis-giorgos
Γιώργου Περδίκη,perdikis-giorgos
Γιώργου Χατζηγεωργίου,chatzigeorgiou-giorgos
Δημήτρη Συλλούρη,syllouris-dimitris
Δώρο Χριστοδουλίδη,christodoulidis-doros
Δώρου Χριστοδουλίδη,christodoulidis-doros
Ειρήνης Χαραλαμπίδου,charalampidou-eirini
Ελένη Θεοχάρους,theocharous-eleni
Ελένη Μαύρου,mavrou-eleni
Ελένης Θεοχάρους,theocharous-eleni
Ελένης Μαύρου,mavrou-eleni
Ευγένιου Χαμπουλλά,champoullas-evgenios
Ευθύμιου Δίπλαρου,diplaros-efthymios
Ζαχαρία Ζαχαρίου,zachariou-zacharias
Ζαχαρία Κουλία,koulias-zacharias
Ηλία Μυριάνθους,myrianthous-ilias
Θάσο Μιχαηλίδη,michailidis-thasos
Θάσου Μιχαηλίδη,michailidis-thasos
Κίκη Γιάγκου,giankou-kikis
Καίτη Κληρίδη,kliridou-kaiti
Καίτη Κληρίδου,kliridou-kaiti
Καίτης Κληρίδη,kliridou-kaiti
Κλαύδιου Μαυροχάννα,mavrochannas-klavdios
Κυριάκο Τυρίμο,tyrimos-kyriakos
Κυριάκου Τυρίμου,tyrimos-kyriakos
Κυριάκου Χατζηγιάννη,chatzigiannis-kyriakos
Κύπρου Χρυσοστομίδη,chrysostomidis-kypros
Κώστα Κώστα,kosta-kostas
Κώστα Παπακώστα,papakostas-kostas
Λευκωσίας Χρήστου Στυλιανίδη,stylianidis-christos
Λευτέρη Χριστοφόρου,christoforou-lefteris
Μάριο Ματσάκη,matsakis-marios
Μάριου Μαυρίδη,mavridis-marios
Μαρία Κυριακού,kyriakou-maria
Μαρίας Κυριακού,kyriakou-maria
Νέες Δυνάμεις,
Νίκο Πιττοκοπίτη,pittokopitis-nikos
Νίκου Κλεάνθους,kleanthous-nikos
Νίκου Κουτσού,koutsou-nikos
Νίκου Νικολαΐδη,nikolaidis-nikos
Νίκου Νουρή,nouris-nikos
Νίκου Τορναρίτη,tornaritis-nikos
Νεόφυτου Κωνσταντίνου,konstantinou-neofytos
Νικόλα Παπαδόπουλου,papadopoulos-nikolas
Ντίνας Ακκελίδου,akkelidou-ntina
Ντίνο Μιχαηλίδη,michailidis-ntinos
Ντίνο Χατζηνικόλα,chatzinikolas-ntinos
Ντίνου Μιχαηλίδη,michailidis-ntinos
Ντίνου Χατζηνικόλα,chatzinikolas-ntinos
Πανίκκου Α. Σταυριανού,stavrianos-panikkos
Πανίκκου Σταυριανού,stavrianos-panikkos
Πανίκου Χάμπα,champas-panikos
Πρόδρομο Προδρόμου,prodromou-prodromos
Πρόδρομου Προδρόμου,prodromou-prodromos
Ρίκκου Ερωτοκρίτου,erotokritou-rikkos
Ρούλας Μαυρονικόλα,mavronikola-roula
Ρούλλας Μαυρονικόλα,mavronikola-roula
Σκεύης Κουκουμά,koukouma-koutra-skevi
Σκεύης Κούτρα Κουκουμά,koukouma-koutra-skevi
Σκεύης Κούτρα-Κουκουμά,koukouma-koutra-skevi
Σοφοκλή Φυττή,fyttis-sofoklis
Στέλλας Κυριακίδου,kyriakidou-stella
Στέλλας Μισιαούλη,dimitriou-misiaouli-stella
Στέλλας Μισιαούλη Δημητρίου,dimitriou-misiaouli-stella
Σταύρο Ευαγόρου,evagorou-stavros
Σταύρου Ευαγόρου,evagorou-stavros
Σωτήρη Σαμψών,sampson-sotiris
Σωτηρούλα Χαραλάμπους,charalampous-sotiroula
Σωτηρούλας Χαραλάμπους,charalampous-sotiroula
Τάκη Χατζηγεωργίου,chatzigeorgiou-takis
Τάκη Χατζηδημητρίου,chatzidimitriou-takis
Τάσου Μητσόπουλου,mitsopoulos-tasos
Φειδία Σαρίκα,sarikas-feidias
Χάρη Γεωργιάδη,georgiadis-charis
Χρήστο Πουργουρίδη,pourgouridis-christos
Χρήστου Πουργουρίδη,pourgouridis-christos
