name,id
Kωνσταντίνου Κώστας,konstantinou-kostas
Xριστοδουλίδης Δώρος,christodoulidis-doros
Αγαπίου Άγις,agapiou-agis
Αγαπίου Γιαννάκης,agapiou-giannakis
Αγγελίδης Ανδρέας,angelidis-andreas
Αδάμος Αδάμου,adamou-adamos
Αδάμου Αδάμος,adamou-adamos
Ακκελίδου Ντίνα,akkelidou-ntina
Αναστασιάδης Νίκος,anastasiadis-nikos
Αντωνίου Αβραάμ,antoniou-avraam
Αντωνίου Αντώνης,antoniou-antonis
Αριστοτέλους Άριστος,aristotelous-aristos
Βαρνάβα Γιώργος,varnava-giorgos
Βασιλείου Ανδρούλα,vasileiou-androula
Βενιαμίν Χριστόδουλος,veniamin-christodoulos
Βότσης Άγγελος,votsis-angelos
Γαβριήλ Γιαννάκης,gavriil-giannakis
Γερασίμου Στέλιος,gerasimou-stelios
Γεωργίου Αριστοφάνης,georgiou-aristofanis
Γεωργίου Γεώργιος,georgiou-georgios
Γεωργίου Γιώργος,georgiou-k-giorgos
Γεωργιάδη Λία,georgiadi-lia
Γεωργιάδης Χάρης,georgiadis-charis
Γιάγκου Κίκης,giankou-kikis
Δίπλαρος Ευθύμιος,diplaros-efthymios
Δαμιανού Άριστος,damianou-aristos
Δημητρίου Μισιαούλη Στέλλα,dimitriou-misiaouli-stella
Δημητρίου Παναγιώτης,dimitriou-panagiotis
Δημητρίου-Μισιαούλη Στέλλα,dimitriou-misiaouli-stella
Ερωτοκρίτου Ρίκκος,erotokritou-rikkos
Ευαγόρου Σταύρος,evagorou-stavros
Ζαχαρίου Ζαχαρίας,zachariou-zacharias
Ηλιάδης Δημήτρης,iliadis-dimitris
Θεμιστοκλέους Ανδρέας,themistokleous-andreas
Θεοδώρου Δώρος,theodorou-doros
Θεοχάρους Ελένη,theocharous-eleni
Θωμά Γιαννάκης,thoma-giannakis
Ιερωνυμίδης Στέλιος,ieronymidis-stelios
Κάρογιαν Μάριος,karogian-marios
Καζαμίας Κίκης,kazamias-kikis
Καράς Αντώνης,karas-antonis
Καρογιάν Μάριος,karogian-marios
Κατσουρίδης Νίκος,katsouridis-nikos
Καυκαλιάς Ανδρέας,kafkalias-antreas
Καυκαλιάς Αντρέας,kafkalias-antreas
Κιττής Στάθης,kittis-stathis
Κλεάνθους Νίκος,kleanthous-nikos
Κληρίδη Καίτη,kliridou-kaiti
Κληρίδης Χρίστος,kliridis-christos
Κληρίδου Καίτη,kliridou-kaiti
Κουκουμά Κούτρα Σκεύη,koukouma-koutra-skevi
Κουκουμά Σκεύη,koukouma-koutra-skevi
Κουλίας Ζαχαρίας,koulias-zacharias
Κουτσού Νίκος,koutsou-nikos
Κυπριανού Άντρος,kyprianou-antros
Κυπριανού Ανδρέας,kyprianou-andreas
Κυπριανού Μάρκος,kyprianou-markos
Κυρίτσης Πάμπης,kyritsis-pampis
Κυριακίδου Αθηνά,kyriakidou-athina
Κυριακίδου Στέλλα,kyriakidou-stella
Κυριακού Μαρία,kyriakou-maria
Κωνσταντίνου Κώστας,konstantinou-kostas
Κωνσταντίνου Νεόφυτος,konstantinou-neofytos
Κώστα Κώστας,kosta-kostas
Λαμάρης Γιάννος,lamaris-giannos
Λιλλήκας Γιώργος,lillikas-giorgos
Λουκαΐδης Γιώργος,loukaidis-giorgos
Λουκαΐδης Γιώργος,loukaidis-giorgos
Λυσσαρίδης Βάσος,lyssaridis-vasos
Μάτσης Γιαννάκης,matsis-giannakis
Μέσης Χρίστος,mesis-christos
Μακρίδης Ισίδωρος,makridis-isidoros
Μαππουρίδης Ρίκκος,mappouridis-rikkos
Ματσάκης Μάριος,matsakis-marios
Μαυρίδης Μάριος,mavridis-marios
Μαυροκορδάτος Χρήστος,mavrokordatos-christos
Μαυροκορδάτος Χρίστος,mavrokordatos-christos
Μαυρονικόλα Ρούλα,mavronikola-roula
Μαυροχάννας Κλαύδιος,mavrochannas-klavdios
Μαχτεσιάν Βαρτκές,machtesian-vartkes
Μαύρου Ελένη,mavrou-eleni
Μητσόπουλος Τάσος,mitsopoulos-tasos
Μισός Αριστοτέλης,misos-aristotelis
Μιχαηλίδη Θάσος,michailidis-thasos
Μιχαηλίδης Ανδρέας,michailidis-andreas
Μιχαηλίδης Θάσος,michailidis-thasos
Μιχαηλίδης Ντίνος,michailidis-ntinos
Μιχηαλίδης Ντίνος,michailidis-ntinos
Μουσιούττας Νίκος,mousiouttas-nikos
Μουσκάλλης Ανδρέας,mouskallis-andreas
Μούσκος Ανδρέας,mouskos-andreas
Μυριάνθους Ηλίας,myrianthous-ilias
Νεοφύτου Αβέρωφ,neofytou-averof
Νικολάου Ιωνάς,nikolaou-ionas
Νικολαΐδης Νίκος,nikolaidis-nikos
Νουρής Νίκος,nouris-nikos
Ομήρου Γιαννάκης,omirou-giannakis
Παντελίδου Κατερί,pantelidou-katerina
Παντελίδου Κατερίνα,pantelidou-katerina
Παπαγεωργίου Πάμπος,papageorgiou-pampos
Παπαγεωργίου Χαράλαμπος,papageorgiou-pampos
Παπαδοπούλου Αντιγόνη,papadopoulou-antigoni
Παπαδόπολος Νικόλας,papadopoulos-nikolas
Παπαδόπουλος Νικόλας,papadopoulos-nikolas
Παπαδόπουλος Τάσσος,papadopoulos-tassos
Παπακώστας Κώστας,papakostas-kostas
Παπαπολυβίου Ανδρέας,papapolyviou-andreas
Παρισινός Ανδρέας,parisinos-andreas
Περδίκης Γιώργος,perdikis-giorgos
Πιτσιλλίδης Ανδρέας,pitsillidis-andreas
Πιττοκοπίτης Νίκος,pittokopitis-nikos
Πουργουρίδης Χρήστος,pourgouridis-christos
Προδρόμου Πρόδρομος,prodromou-prodromos
Προκοπίου Γεώργιος,prokopiou-georgios
Ρότσας Χρίστος,rotsas-christos
Σαμμούτας Ευάγγελος,sammoutas-evangelos
Σαμψών Σωτήρης,sampson-sotiris
Σαρίκας Φειδίας,sarikas-feidias
Σιζόπουλος Μαρίνος,sizopoulos-marinos
Σταυριανός Πανίκκος,stavrianos-panikkos
Στυλιανίδης Χρήστος,stylianidis-christos
Στυλιανού Στέλιος,stylianou-stelios
Συλλούρης Δημήτρης,syllouris-dimitris
Τάσου Γεώργιος,tasou-georgios
Ταραμουντάς Χριστόδουλος,taramountas-christodoulos
Τζιοβάνης Χριστάκης,tziovanis-christakis
Τορναρίτης Νίκος,tornaritis-nikos
Τυρίμος Κυριάκος,tyrimos-kyriakos
Φακοντής Αντρέας,fakontis-antreas
Φακοντής Σοφοκλής,fakontis-antreas
Φιλίππου Ανδρέας,filippou-andreas
Φυττής Σοφοκλής,fyttis-sofoklis
Χάμπας Πανίκος,champas-panikos
Χάσικος Σωκράτης,chasikos-sokratis
Χαμπουλάς Ευγένιος,champoullas-evgenios
Χαμπουλλάς Ευγένιος,champoullas-evgenios
Χαραλάμπους Σωτηρούλα,charalampous-sotiroula
Χαραλαμπίδου Ειρήνη,charalampidou-eirini
Χατζηγεωργίου Γεώργιος,chatzigeorgiou-giorgos
Χατζηγεωργίου Γιώργος,chatzigeorgiou-giorgos
Χατζηγεωργίου Τάκης,chatzigeorgiou-takis
Χατζηγιάννη Κυριάκος,chatzigiannis-kyriakos
Χατζηγιάννης Κυριάκος,chatzigiannis-kyriakos
Χατζηγιάννης Σοφοκλής,chatzigiannis-sofoklis
Χατζηδημητρίου Τάκης,chatzidimitriou-takis
Χατζηνικόλα Ντίνος,chatzinikolas-ntinos
Χατζηνικόλας Ντίνος,chatzinikolas-ntinos
Χατζηρούσος Αντώνης,chatzirousos-antonis
Χρίστου Ανδρέας,christou-andreas
Χριστοδουλίδης Δώρος,christodoulidis-doros
Χριστοφίδης Γιώργος,christofidis-giorgos
Χριστοφόρου Λευτέρης,christoforou-lefteris
Χριστόφιας Δημήτρης,christofias-dimitris
Χρυσοστομίδης Κύπρος,chrysostomidis-kypros
Χρυσοστόμου Άριστος,chrysostomou-aristos
