name,id
ΚΥΠΡΙΑΝΟΥ Άντρος,kyprianou-antros
ΚΥΡΙΑΚΙΔΟΥ Στέλλα,kyriakidou-stella
ΚΩΝΣΤΑΝΤΙΝΟΥ Κώστας,konstantinou-kostas
ΚΩΣΤΑ Κώστας,kosta-kostas
ΛΕΩΝΙΔΟΥ Πανίκος,leonidou-panikos
ΛΙΛΛΗΚΑΣ Γιώργος,lillikas-giorgos
ΛΟΥΚΑΪΔΗΣ Γιώργος,loukaidis-giorgos
MANTOBANH Αντωνέλλα,mantovani-antonella
ΜΑΥΡΙΔΗΣ Μάριος,mavridis-marios
ΜΑΥΡΟΥ Ελένη,mavrou-eleni
ΜΑΧΤΕΣΙΑΝ Βαρτκές,machtesian-vartkes
ΜΟΥΣΑΣ Γιαννάκης,mousas-giannakis
ΜΟΥΣΙΟΥΤΤΑΣ Μαρίνος,mousiouttas-marinos
ΜΥΛΩΝΑΣ Παύλος,mylonas-pavlos
ΜΥΡΙΑΝΘΟΥΣ Ηλίας,myrianthous-ilias
ΝΕΟΦΥΤΟΥ Αβέρωφ,neofytou-averof
ΝΟΥΡΗΣ Νίκος,nouris-nikos
ΟΡΦΑΝΙΔΗΣ Χρίστος,orfanidis-christos
ΠΑΠΑΓΙΑΝΝΗΣ Λίνος,papagiannis-linos
ΠΑΠΑΔΟΠΟΥΛΟΣ Γεώργιος,papadopoulos-georgios
ΠΑΠΑΔΟΠΟΥΛΟΣ Νικόλας,papadopoulos-nikolas
ΠΕΡΔΙΚΗΣ Γιώργος,perdikis-giorgos
ΠΙΤΤΟΚΟΠΙΤΗΣ Χαράλαμπος,pittokopitis-charalampos
ΠΡΟΚΟΠΙΟΥ Γεώργιος,prokopiou-georgios
ΣΑΒΒΑ Ευανθία,savva-evanthia
ΣΥΛΛΟΥΡΗΣ Δημήτρης,syllouris-dimitris
ΑΔΑΜΟΥ Αδάμος,adamou-adamos
ΑΡΙΣΤΕΙΔΟΥ Μαριέλλα,aristeidou-mariella
ΒΟΤΣΗΣ Άγγελος,votsis-angelos
ΓΕΩΡΓΙΟΥ Γεώργιος,georgiou-georgios
ΓΕΩΡΓΙΟΥ Κ. Γιώργος,georgiou-k-giorgos
ΓΕΩΡΓΙΟΥ T. Γιώργος,georgiou-t-giorgos
ΓΙΩΡΓΑΛΛΑΣ Μιχάλης,giorgallas-michalis
ΔΑΜΙΑΝΟΥ Άριστος,damianou-aristos
ΔΗΜΗΤΡΙΟΥ Αννίτα,dimitriou-annita
ΔΗΜΗΤΡΙΟΥ Δημήτρης,dimitriou-dimitris
ΔΙΠΛΑΡΟΣ Ευθύμιος,diplaros-efthymios
ΕΡΩΤΟΚΡΙΤΟΥ Α. Χριστιάνα,erotokritou-christiana
ΕΥΣΤΑΘΙΟΥ Κωνσταντίνος (Κωστής),efstathiou-kostis
ΖΑΧΑΡΙΟΥ Ζαχαρίας,zachariou-zacharias
ΘΕΟΛΟΓΟΥ 'Αννα,theologou-anna
ΘΕΟΠΕΜΠΤΟΥ Χαράλαμπος,theopemptou-charalampos
ΚΑΡΟΥΛΛΑΣ Γιώργος,karoullas-giorgos
ΚΑΣΙΝΗΣ Σόλων,kasinis-solon
ΚΑΥΚΑΛΙΑΣ Αντρέας,kafkalias-antreas
ΚΕΤΤΗΡΟΣ Νίκος,kettiros-nikos
ΚΟΥΚΟΥΜΑ ΚΟΥΤΡΑ Σκεύη,koukouma-koutra-skevi
ΚΟΥΛΙΑΣ Ζαχαρίας,koulias-zacharias
ΚΟΥΛΛΑ Ονούφριος,koulla-onoufrios
ΚΥΠΡΙΑΝΟΥ Ανδρέας,kyprianou-andreas
ΣΙΖΟΠΟΥΛΟΣ Μαρίνος,sizopoulos-marinos
ΣΤΑΥΡΟΥ Ελένη,stavrou-eleni
ΣΤΕΦΑΝΟΥ Στέφανος,stefanou-stefanos
ΤΖΙΟΒΑΝΗΣ Χριστάκης,tziovanis-christakis
ΤΟΡΝΑΡΙΤΗΣ Νίκος,tornaritis-nikos
ΦΑΚΟΝΤΗΣ Ανδρέας,fakontis-antreas
ΧΑΡΑΛΑΜΠΙΔΟΥ Ειρήνη,charalampidou-eirini
Δρ ΧΑΤΖΗΓΙΑΝΝΗΣ Κυριάκος,chatzigiannis-kyriakos
ΧΡΙΣΤΟΥ Χρίστος,christou-christos
Ομήρου Λ. Γιαννάκης,omirou-giannakis
Αδάμου Αδάμος,adamou-adamos
Αναστασιάδης Νίκος,anastasiadis-nikos
Αντωνίου Αντώνης,antoniou-antonis
Βαρνάβα Γιώργος,varnava-giorgos
Βότσης Άγγελος,votsis-angelos
Γαβριήλ Γιαννάκης,gavriil-giannakis
Γεωργιάδης Χάρης,georgiadis-charis
Γεωργίου Γεώργιος,georgiou-georgios
Γεωργίου Κ. Γιώργος,georgiou-k-giorgos
Δαμιανού Άριστος,damianou-aristos
Δημητρίου Μισιαούλη Στέλλα,dimitriou-misiaouli-stella
Δίπλαρος Ευθύμιος,diplaros-efthymios
Ευαγόρου Σταύρος,evagorou-stavros
Ζαχαρίου Ζαχαρίας,zachariou-zacharias
Θεμιστοκλέους Ανδρέας,themistokleous-andreas
Καρογιάν Μάριος,karogian-marios
Κατσουρίδης Νίκος,katsouridis-nikos
Καυκαλιάς Αντρέας,kafkalias-antreas
Κουκουμα Κούτρα Σκεύη,koukouma-koutra-skevi
Κουλίας Ζαχαρίας,koulias-zacharias
Κουτσού Νίκος,koutsou-nikos
Κυπριανού Ανδρέας,kyprianou-andreas
Κυπριανού Άντρος,kyprianou-antros
Κυριακίδου Αθηνά,kyriakidou-athina
Κυριακίδου Στέλλα,kyriakidou-stella
Κυριακού Μαρία,kyriakou-maria
Κωνσταντίνου Κώστας,konstantinou-kostas
Κωνσταντίνου Νεόφυτος,konstantinou-neofytos
Κώστα Κώστας,kosta-kostas
Λαμάρης Γιάννος,lamaris-giannos
Λουκαΐδης Γιώργος,loukaidis-giorgos
Μαππουρίδης Ρίκκος,mappouridis-rikkos
Μαυρίδης Μάριος,mavridis-marios
Μαυρονικόλα Ρούλα,mavronikola-roula
Μέσης Χρίστος,mesis-christos
Μισός Αριστοτέλης,misos-aristotelis
Μητσόπουλος Τάσος,mitsopoulos-tasos
Μιχαηλίδης Ανδρέας,michailidis-andreas
Νεοφύτου Αβέρωφ,neofytou-averof
Νικολαΐδης Νίκος,nikolaidis-nikos
Νικολάου Ιωνάς,nikolaou-ionas
Νουρής Νίκος,nouris-nikos
Παπαγεωργίου Πάμπος,papageorgiou-pampos
Παπαδόπουλος Νικόλας,papadopoulos-nikolas
Περδίκης Γιώργος,perdikis-giorgos
Πιτσιλλίδης Ανδρέας,pitsillidis-andreas
Προδρόμου Πρόδρομος,prodromou-prodromos
Προκοπίου Γεώργιος,prokopiou-georgios
Σαμψών Ν. Σωτήρης,sampson-sotiris
Σαρίκας Φειδίας,sarikas-feidias
Σταυριανός Α. Πανίκκος,stavrianos-panikkos
Στυλιανίδης Χρήστος,stylianidis-christos
Συλλούρης Δημήτρης,syllouris-dimitris
Τάσου Γεώργιος,tasou-georgios
Τζιοβάνης Χριστάκης,tziovanis-christakis
Τορναρίτης Νίκος,tornaritis-nikos
Φακοντής Αντρέας,fakontis-antreas
Φυττής Σοφοκλής,fyttis-sofoklis
Χαραλαμπίδου Ειρήνη,charalampidou-eirini
Χαμπουλλάς Ευγένιος,champoullas-evgenios
Δρ Χατζηγιάννης Κυριάκος,chatzigiannis-kyriakos
Χριστοφόρου Λευτέρης,christoforou-lefteris
