name,id
Άγγελου Βότση,votsis-angelos
Άγι Αγαπίου,agapiou-agis
Άννας Θεολόγου,theologou-anna
Άντρο Κυπριανού,kyprianou-antros
Άντρου Κυπριανού,kyprianou-antros
Άριστο Χρυσοστόμου,chrysostomou-aristos
Άριστου Αριστοτέλους,aristotelous-aristos
Άριστου Δαμιανού,damianou-aristos
Αδάμο Αδάμου,adamou-adamos
Αδάμου Αδάμου,adamou-adamos
Αθηνά Κυριακίδου,kyriakidou-athina
Αθηνάς Κυριακίδου,kyriakidou-athina
Ανδρέα Αγγελίδη,angelidis-andreas
Ανδρέα Θεμιστοκλέους,themistokleous-andreas
Ανδρέα Κυπριανού,kyprianou-andreas
Ανδρέα Μιχαηλίδη,michailidis-andreas
Ανδρέα Μουσκάλλη,mouskallis-andreas
Ανδρέα Παπαπολυβίου,papapolyviou-andreas
Ανδρέα Φακοντή,fakontis-antreas
Ανδρέα Φιλίππου,filippou-andreas
Ανδρέα Χρίστου,christou-andreas
Ανδρούλας Βασιλείου,vasileiou-androula
Αννίτας Δημητρίου,dimitriou-annita
Αντιγόνη Παπαδοπούλου,papadopoulou-antigoni
Αντιγόνης Παπαδοπούλου,papadopoulou-antigoni
Αντρέα Καυκαλιά,kafkalias-antreas
Αντρέα Φακοντή,fakontis-antreas
Αντώνη Αντωνίου,antoniou-antonis
Αντώνη Καρά,karas-antonis
Αριστοτέλη Μισού,misos-aristotelis
Αριστοφάνη Γεωργίου,georgiou-aristofanis
Γεώργιο Γεωργίου,georgiou-georgios
Γεώργιο Τάσου,tasou-georgios
Γεώργιου Γεωργίου,georgiou-georgios
Γεώργιου Προκοπίου,prokopiou-georgios
Γεώργιου Τάσου,tasou-georgios
Γιάννο Λαμάρη,lamaris-giannos
Γιάννου Λαμάρη,lamaris-giannos
Γιαννάκη Αγαπίου,agapiou-giannakis
Γιαννάκη Γαβριήλ,gavriil-giannakis
Γιαννάκη Θωμά,thoma-giannakis
Γιαννάκη Ομήρου,omirou-giannakis
Γιώργιου Κ. Γεωργίου,georgiou-k-giorgos
Γιώργο Βαρνάβα,varnava-giorgos
Γιώργο Περδίκη,perdikis-giorgos
Γιώργο Χατζηγεωργίου,chatzigeorgiou-k-giorgos
Γιώργου Βαρνάβα,varnava-giorgos
Γιώργου Γεωργίου,georgiou-k-giorgos
Γιώργου Κ. Γεωργίου,georgiou-k-giorgos
Γιώργου Λουκαΐδη,loukaidis-giorgos
Γιώργου Περδίκη,perdikis-giorgos
Γιώργου Προκοπίου,prokopiou-georgios
Γιώργου Τ. Γεωργίου,georgiou-t-giorgos
Γιώργου Χατζηγεωργίου,chatzigeorgiou-k-giorgos
Δημήτρη Δημητρίου,dimitriou-dimitris
Δημήτρη Συλλούρη,syllouris-dimitris
Δώρο Χριστοδουλίδη,christodoulidis-doros
Δώρου Χριστοδουλίδη,christodoulidis-doros
Ειρήνης Χαραλαμπίδου,charalampidou-eirini
Ελένη Θεοχάρους,theocharous-eleni
Ελένη Μαύρου,mavrou-eleni
Ελένης Θεοχάρους,theocharous-eleni
Ελένης Μαύρου,mavrou-eleni
Ευανθίας Σάββα,savva-evanthia
Ευγένιου Χαμπουλλά,champoullas-evgenios
Ευθύμιου Δίπλαρου,diplaros-efthymios
Ζαχαρία Ζαχαρίου,zachariou-zacharias
Ζαχαρία Κουλία,koulias-zacharias
Ηλία Μυριάνθους,myrianthous-ilias
Θάσο Μιχαηλίδη,michailidis-thasos
Θάσου Μιχαηλίδη,michailidis-thasos
Κίκη Γιάγκου,giankou-kikis
Καίτη Κληρίδη,kliridou-kaiti
Καίτη Κληρίδου,kliridou-kaiti
Καίτης Κληρίδη,kliridou-kaiti
Καίτης Κληρίδου,kliridou-kaiti
Κλαύδιου Μαυροχάννα,mavrochannas-klavdios
Κυριάκο Τυρίμο,tyrimos-kyriakos
Κυριάκου Τυρίμου,tyrimos-kyriakos
Κυριάκου Χατζηγιάννη,chatzigiannis-kyriakos
Κωστή Ευσταθίου,efstathiou-kostis
Κύπρου Χρυσοστομίδη,chrysostomidis-kypros
Κώστα Κώστα,kosta-kostas
Κώστα Παπακώστα,papakostas-kostas
Λίνου Παπαγιάννη,papagiannis-linos
Λευκωσίας Χρήστου Στυλιανίδη,stylianidis-christos
Λευτέρη Χριστοφόρου,christoforou-lefteris
Μάριο Ματσάκη,matsakis-marios
Μάριου Μαυρίδη,mavridis-marios
Μαρία Κυριακού,kyriakou-maria
Μαρίας Κυριακού,kyriakou-maria
Μαρίνου Μουσιούττα,mousiouttas-marinos
Μαριέλλας Αριστείδου,aristeidou-mariella
Μιχάλη Γιωργάλλα,giorgallas-michalis
Νέες Δυνάμεις,
Νίκο Πιττοκοπίτη,pittokopitis-nikos
Νίκου Κέττηρου,kettiros-nikos
Νίκου Κλεάνθους,kleanthous-nikos
Νίκου Κουτσού,koutsou-nikos
Νίκου Νικολαΐδη,nikolaidis-nikos
Νίκου Νουρή,nouris-nikos
Νίκου Τορναρίτη,tornaritis-nikos
Νεόφυτου Κωνσταντίνου,konstantinou-neofytos
Νικόλα Παπαδόπουλου,papadopoulos-nikolas
Ντίνας Ακκελίδου,akkelidou-ntina
Ντίνο Μιχαηλίδη,michailidis-ntinos
Ντίνο Χατζηνικόλα,chatzinikolas-ntinos
Ντίνου Μιχαηλίδη,michailidis-ntinos
Ντίνου Χατζηνικόλα,chatzinikolas-ntinos
Πανίκκου Α. Σταυριανού,stavrianos-panikkos
Πανίκκου Σταυριανού,stavrianos-panikkos
Πανίκου Λεωνίδου,leonidou-panikos
Πανίκου Χάμπα,champas-panikos
Παύλου Μυλωνά,mylonas-pavlos
Πρόδρομο Προδρόμου,prodromou-prodromos
Πρόδρομου Προδρόμου,prodromou-prodromos
Ρίκκου Ερωτοκρίτου,erotokritou-rikkos
Ρούλας Μαυρονικόλα,mavronikola-roula
Ρούλλας Μαυρονικόλα,mavronikola-roula
Σκεύης Κουκουμά,koukouma-koutra-skevi
Σκεύης Κούτρα Κουκουμά,koukouma-koutra-skevi
Σκεύης Κούτρα-Κουκουμά,koukouma-koutra-skevi
Σοφοκλή Φυττή,fyttis-sofoklis
Στέλλας Κυριακίδου,kyriakidou-stella
